Date;Close
06-06-2022;146.139.999
07-06-2022;148.710.007
08-06-2022;147.960.007
09-06-2022;142.639.999
10-06-2022;137.130.005
13-06-2022;131.880.005
14-06-2022;132.759.995
15-06-2022;135.429.993
16-06-2022;130.059.998
17-06-2022;131.559.998
21-06-2022;135.869.995
22-06-2022;135.350.006
23-06-2022;138.270.004
24-06-2022;141.660.004
27-06-2022;141.660.004
28-06-2022;137.440.002
29-06-2022;139.229.996
30-06-2022;136.720.001
01-07-2022;138.929.993
05-07-2022;141.559.998
06-07-2022;142.919.998
07-07-2022;146.350.006
08-07-2022;147.039.993
11-07-2022;144.869.995
12-07-2022;145.860.001
13-07-2022;145.490.005
14-07-2022;148.470.001
15-07-2022;150.169.998
18-07-2022;147.070.007
19-07-2022;151.000.000
20-07-2022;153.039.993
21-07-2022;155.350.006
22-07-2022;154.089.996
25-07-2022;152.949.997
26-07-2022;151.600.006
27-07-2022;156.789.993
28-07-2022;157.350.006
29-07-2022;162.509.995
01-08-2022;161.509.995
02-08-2022;160.009.995
03-08-2022;166.130.005
04-08-2022;165.809.998
05-08-2022;165.350.006
08-08-2022;164.869.995
09-08-2022;164.919.998
10-08-2022;169.240.005
11-08-2022;168.490.005
12-08-2022;172.100.006
15-08-2022;173.190.002
16-08-2022;173.029.999
17-08-2022;174.550.003
18-08-2022;174.149.994
19-08-2022;171.520.004
22-08-2022;167.570.007
23-08-2022;167.229.996
24-08-2022;167.529.999
25-08-2022;170.029.999
26-08-2022;163.619.995
29-08-2022;161.380.005
30-08-2022;158.910.004
31-08-2022;157.220.001
01-09-2022;157.960.007
02-09-2022;155.809.998
06-09-2022;154.529.999
07-09-2022;155.960.007
08-09-2022;154.460.007
09-09-2022;157.369.995
12-09-2022;163.429.993
13-09-2022;153.839.996
14-09-2022;155.309.998
15-09-2022;152.369.995
16-09-2022;150.699.997
19-09-2022;154.479.996
20-09-2022;156.899.994
21-09-2022;153.720.001
22-09-2022;152.740.005
23-09-2022;150.429.993
